Date;Power
2024-04-12 00:00:00;291.69999999999993
2024-04-12 00:01:00;291.63
2024-04-12 00:02:00;284.6683333333333
2024-04-12 00:03:00;278.12166666666667
2024-04-12 00:04:00;273.9383333333334
2024-04-12 00:05:00;270.21500000000003
2024-04-12 00:06:00;268.6083333333333
2024-04-12 00:07:00;267.5516666666666
2024-04-12 00:08:00;266.1616666666667
2024-04-12 00:09:00;264.77333333333337
2024-04-12 00:10:00;263.3816666666667
2024-04-12 00:11:00;261.9933333333333
2024-04-12 00:12:00;260.6033333333333
2024-04-12 00:13:00;259.21333333333337
2024-04-12 00:14:00;137.05833333333334
2024-04-12 00:15:00;135.0
2024-04-12 00:16:00;135.0
2024-04-12 00:17:00;135.0
2024-04-12 00:18:00;135.0
2024-04-12 00:19:00;135.0
2024-04-12 00:20:00;135.0
2024-04-12 00:21:00;135.0
2024-04-12 00:22:00;135.0
2024-04-12 00:23:00;135.0
2024-04-12 00:24:00;135.0
2024-04-12 00:25:00;135.0
2024-04-12 00:26:00;135.0
2024-04-12 00:27:00;135.0
2024-04-12 00:28:00;135.0
2024-04-12 00:29:00;135.0
2024-04-12 00:30:00;135.0
2024-04-12 00:31:00;135.0
2024-04-12 00:32:00;135.0
2024-04-12 00:33:00;135.0
2024-04-12 00:34:00;135.0
2024-04-12 00:35:00;135.0
2024-04-12 00:36:00;135.0
2024-04-12 00:37:00;135.0
2024-04-12 00:38:00;135.0
2024-04-12 00:39:00;135.0
2024-04-12 00:40:00;135.0
2024-04-12 00:41:00;135.0
2024-04-12 00:42:00;135.0
2024-04-12 00:43:00;135.0
2024-04-12 00:44:00;135.0
2024-04-12 00:45:00;135.0
2024-04-12 00:46:00;135.0
2024-04-12 00:47:00;135.0
2024-04-12 00:48:00;135.0
2024-04-12 00:49:00;135.0
2024-04-12 00:50:00;135.0
2024-04-12 00:51:00;207.06
2024-04-12 00:52:00;293.07
2024-04-12 00:53:00;289.20500000000004
2024-04-12 00:54:00;281.025
2024-04-12 00:55:00;276.14000000000004
2024-04-12 00:56:00;272.1
2024-04-12 00:57:00;269.0166666666667
2024-04-12 00:58:00;268.295
2024-04-12 00:59:00;266.90333333333336
2024-04-12 01:00:00;265.51333333333326
2024-04-12 01:01:00;264.125
2024-04-12 01:02:00;262.735
2024-04-12 01:03:00;261.3433333333334
2024-04-12 01:04:00;259.955
2024-04-12 01:05:00;203.13166666666663
2024-04-12 01:06:00;135.0
2024-04-12 01:07:00;135.0
2024-04-12 01:08:00;135.0
2024-04-12 01:09:00;135.0
2024-04-12 01:10:00;135.0
2024-04-12 01:11:00;135.0
2024-04-12 01:12:00;135.0
2024-04-12 01:13:00;135.0
2024-04-12 01:14:00;135.0
2024-04-12 01:15:00;135.0
2024-04-12 01:16:00;135.0
2024-04-12 01:17:00;135.0
2024-04-12 01:18:00;135.0
2024-04-12 01:19:00;135.0
2024-04-12 01:20:00;135.0
2024-04-12 01:21:00;135.0
2024-04-12 01:22:00;135.0
2024-04-12 01:23:00;135.0
2024-04-12 01:24:00;135.0
2024-04-12 01:25:00;135.0
2024-04-12 01:26:00;135.0
2024-04-12 01:27:00;135.0
2024-04-12 01:28:00;135.0
2024-04-12 01:29:00;135.0
2024-04-12 01:30:00;135.0
2024-04-12 01:31:00;135.0
2024-04-12 01:32:00;135.0
2024-04-12 01:33:00;135.0
2024-04-12 01:34:00;135.0
2024-04-12 01:35:00;135.0
2024-04-12 01:36:00;135.0
2024-04-12 01:37:00;135.0
2024-04-12 01:38:00;135.0
2024-04-12 01:39:00;135.0
2024-04-12 01:40:00;135.0
2024-04-12 01:41:00;135.0
2024-04-12 01:42:00;135.0
2024-04-12 01:43:00;135.0
2024-04-12 01:44:00;135.0
2024-04-12 01:45:00;135.0
