ghi,ghi90,ghi10,ebh,dni,dni10,dni90,dhi,air_temp,zenith,azimuth,cloud_opacity,PeriodStart,period
0,0,0,0,0,0,0,0,7,94,-71,6,2024-04-19T05:30:00Z,PT30M
15,16,6,3,40,0,57,12,7,88,-76,5,2024-04-19T06:00:00Z,PT30M
88,88,32,49,392,0,392,38,8,83,-81,0,2024-04-19T06:30:00Z,PT30M
183,183,59,127,588,0,588,56,9,78,-86,0,2024-04-19T07:00:00Z,PT30M
286,286,88,218,710,0,710,68,10,72,-92,0,2024-04-19T07:30:00Z,PT30M
390,390,125,314,794,0,794,76,11,67,-97,0,2024-04-19T08:00:00Z,PT30M
491,491,164,410,854,0,854,82,12,61,-102,0,2024-04-19T08:30:00Z,PT30M
587,587,202,500,897,0,897,87,13,56,-108,0,2024-04-19T09:00:00Z,PT30M
674,674,236,583,926,0,926,91,13,51,-115,0,2024-04-19T09:30:00Z,PT30M
750,750,264,656,948,0,948,94,14,46,-123,0,2024-04-19T10:00:00Z,PT30M
816,816,285,719,966,0,966,96,14,42,-131,0,2024-04-19T10:30:00Z,PT30M
