Date;Power
2024-04-12 10:30:00;146.53670674182723
2024-04-12 10:31:00;147.13176227651545
2024-04-12 10:32:00;147.72352838328624
2024-04-12 10:33:00;148.31201987675655
2024-04-12 10:34:00;148.89725096947302
2024-04-12 10:35:00;149.47923525888137
2024-04-12 10:36:00;150.05798607964402
2024-04-12 10:37:00;150.63351507638842
2024-04-12 10:38:00;151.20583433232702
2024-04-12 10:39:00;151.77495494394168
2024-04-12 10:40:00;152.34088736865542
2024-04-12 10:41:00;152.90364142620072
2024-04-12 10:42:00;153.46322629565637
2024-04-12 10:43:00;154.0196505134778
2024-04-12 10:44:00;154.5729219766824
2024-04-12 10:45:00;155.12304793751224
2024-04-12 10:46:00;155.67003500803938
2024-04-12 10:47:00;156.2138894915623
2024-04-12 10:48:00;156.75461605915189
2024-04-12 10:49:00;157.29221974654718
2024-04-12 10:50:00;157.8267046232745
2024-04-12 10:51:00;158.3580741332693
2024-04-12 10:52:00;158.88633109885916
2024-04-12 10:53:00;159.41147772530775
2024-04-12 10:54:00;159.9335156105429
2024-04-12 10:55:00;160.45244574644522
2024-04-12 10:56:00;160.9682685298106
2024-04-12 10:57:00;161.48098376933223
2024-04-12 10:58:00;161.99059069325605
2024-04-12 10:59:00;162.49708826688692
2024-04-12 11:00:00;163.00047397480043
2024-04-12 11:01:00;163.48664590621075
2024-04-12 11:02:00;163.96967887878614
2024-04-12 11:03:00;164.4495699367193
2024-04-12 11:04:00;164.92631560354215
2024-04-12 11:05:00;165.3999118896867
2024-04-12 11:06:00;165.87035430875483
2024-04-12 11:07:00;166.33763789030093
2024-04-12 11:08:00;166.8017571929639
2024-04-12 11:09:00;167.26270632211913
2024-04-12 11:10:00;167.72047922159325
2024-04-12 11:11:00;168.17506856426678
2024-04-12 11:12:00;168.62646746234498
2024-04-12 11:13:00;169.07466835070323
2024-04-12 11:14:00;169.51966329029526
2024-04-12 11:15:00;169.96144398076805
2024-04-12 11:16:00;170.40000178122244
2024-04-12 11:17:00;170.83532772741071
2024-04-12 11:18:00;171.26741255027625
2024-04-12 11:19:00;171.6962466940363
2024-04-12 11:20:00;172.12182033835666
2024-04-12 11:21:00;172.54412367086948
2024-04-12 11:22:00;172.9631458786721
2024-04-12 11:23:00;173.3788767184646
2024-04-12 11:24:00;173.79130550063618
2024-04-12 11:25:00;174.20042137263744
2024-04-12 11:26:00;174.60621333617976
2024-04-12 11:27:00;175.00867027174374
2024-04-12 11:28:00;175.40778095988526
2024-04-12 11:29:00;175.80353410292696
2024-04-12 11:30:00;176.19591835022135
2024-04-12 11:31:00;176.5668153485948
2024-04-12 11:32:00;176.9342769479149
2024-04-12 11:33:00;177.2982923584701
2024-04-12 11:34:00;177.65885152603047
2024-04-12 11:35:00;178.0159442218641
2024-04-12 11:36:00;178.36956029783786
2024-04-12 11:37:00;178.7196897133755
2024-04-12 11:38:00;179.06632255943018
2024-04-12 11:39:00;179.40944908272633
2024-04-12 11:40:00;179.74905971316633
2024-04-12 11:41:00;180.0851450854317
2024-04-12 11:42:00;180.41769606676152
2024-04-12 11:43:00;180.74670378183512
2024-04-12 11:44:00;181.07215984206067
2024-04-12 11:45:00;181.39405555486357
2024-04-12 11:46:00;181.71238317793083
2024-04-12 11:47:00;182.0271351240503
2024-04-12 11:48:00;182.33830419375755
2024-04-12 11:49:00;182.6458835988817
2024-04-12 11:50:00;182.94986699434128
2024-04-12 11:51:00;183.25024849916872
2024-04-12 11:52:00;183.54702272570964
2024-04-12 11:53:00;183.84018480568017
2024-04-12 11:54:00;184.1297304162021
2024-04-12 11:55:00;184.415655985967
2024-04-12 11:56:00;184.69795800646008
2024-04-12 11:57:00;184.97663413282368
2024-04-12 11:58:00;185.25168249274745
2024-04-12 11:59:00;185.5231018924999
2024-04-12 12:00:00;185.7908918453529
2024-04-12 12:01:00;186.0404580479067
2024-04-12 12:02:00;186.28638877292087
2024-04-12 12:03:00;186.52868612583356
2024-04-12 12:04:00;186.76735301757483
2024-04-12 12:05:00;187.00239319224724
2024-04-12 12:06:00;187.23381140104797
2024-04-12 12:07:00;187.4616128244928
2024-04-12 12:08:00;187.68580400883965
2024-04-12 12:09:00;187.9063922808747
2024-04-12 12:10:00;188.12338592768575
2024-04-12 12:11:00;188.33679421895556
2024-04-12 12:12:00;188.54662743300565
2024-04-12 12:13:00;188.752896880594
2024-04-12 12:14:00;188.9556149282203
2024-04-12 12:15:00;189.154795023088
2024-04-12 12:16:00;189.35045171380335
2024-04-12 12:17:00;189.5426007987692
2024-04-12 12:18:00;189.73125884804037
2024-04-12 12:19:00;189.916443977679
2024-04-12 12:20:00;190.09817536754375
2024-04-12 12:21:00;190.27647340622468
2024-04-12 12:22:00;190.45135971199667
2024-04-12 12:23:00;190.622857151332
2024-04-12 12:24:00;190.7909898566373
2024-04-12 12:25:00;190.95578324461584
2024-04-12 12:26:00;191.1172640306724
2024-04-12 12:27:00;191.27546024534448
2024-04-12 12:28:00;191.43040124802064
2024-04-12 12:29:00;191.58211783693747
2024-04-12 12:30:00;191.73064187028376
2024-04-12 12:31:00;191.8616428515642
2024-04-12 12:32:00;191.98951053174488
2024-04-12 12:33:00;192.1142815405334
2024-04-12 12:34:00;192.23599387772583
2024-04-12 12:35:00;192.3546869168222
2024-04-12 12:36:00;192.4704014040086
2024-04-12 12:37:00;192.5831794572539
2024-04-12 12:38:00;192.69306456150892
2024-04-12 12:39:00;192.80010156116683
2024-04-12 12:40:00;192.90433672576825
2024-04-12 12:41:00;193.00581743182065
2024-04-12 12:42:00;193.10459260342688
